Classification subject: dog_breeds There were 124 errors in 1214 tests for an accuracy of  89.79     using a Large model
  2          CLASS                     FILENAME
  3          17_PUG                    169.jpg
  4          17_PUG                    170.jpg
  5          17_PUG                    201.jpg
  6          17_PUG                    117.jpg
  7          17_PUG                    216.jpg
  8          17_PUG                    210.jpg
  9          17_PUG                    165.jpg
 10          17_PUG                    140.jpg
 11          17_PUG                    198.jpg
 12          17_PUG                    190.jpg
 13          17_PUG                    181.jpg
 14          17_PUG                    137.jpg
 15          17_PUG                    193.jpg
 16          17_PUG                    179.jpg
 17          17_PUG                    157.jpg
 18          17_PUG                    168.jpg
 19          17_PUG                    207.jpg
 20          17_PUG                    164.jpg
 21          17_PUG                    132.jpg
 22         X_HUSKY                     79.jpg
 23         X_HUSKY                     90.jpg
 24         X_HUSKY                     85.jpg
 25         X_HUSKY                     96.jpg
 26         X_HUSKY                     61.jpg
 27 24_CAVALIER_COCKER_SPANIEL            72.jpg
 28  19_GERMAN_SHEPHERD_DOG             99.jpg
 29  19_GERMAN_SHEPHERD_DOG             82.jpg
 30  19_GERMAN_SHEPHERD_DOG             94.jpg
 31  19_GERMAN_SHEPHERD_DOG             56.jpg
 32  19_GERMAN_SHEPHERD_DOG             64.jpg
 33       26_PEKINGESE                  59.jpg
 34       26_PEKINGESE                  72.jpg
 35       26_PEKINGESE                  65.jpg
35       26_PEKINGESE                  65.jpg
 36       26_PEKINGESE                  66.jpg
 37       26_PEKINGESE                  90.jpg
 38       26_PEKINGESE                  76.jpg
 39       26_PEKINGESE                  50.jpg        
 40       26_PEKINGESE                  92.jpg
 41       26_PEKINGESE                  69.jpg 
 42   9_ITALIAN_GREY_HOUND              14.jpg
 43   9_ITALIAN_GREY_HOUND              16.jpg
 44   9_ITALIAN_GREY_HOUND              33.jpg
 45   9_ITALIAN_GREY_HOUND              46.jpg
 46   9_ITALIAN_GREY_HOUND              31.jpg
 47   9_ITALIAN_GREY_HOUND              39.jpg
 48   9_ITALIAN_GREY_HOUND              37.jpg
 49   9_ITALIAN_GREY_HOUND              57.jpg
