,code,name,rank_2019,rank_alltime,ratio_2019,ratio_alltime,count_2019,count_alltime,accum_2019,accum_alltime
0,000114,믹스견,1,1,65.59898642963901,50.02347785255908,66274,351560,65.59898642963901,50.02347785255908
1,000072,말티즈,2,2,5.938888833899178,10.71443816787376,6000,75300,71.53787526353818,60.73791602043284
2,000128,푸들,3,3,5.718160132239259,7.278703453378677,5777,51154,77.25603539577745,68.01661947381152
3,000067,진도견,4,5,3.481178671470568,4.084008025156875,3517,28702,80.73721406724802,77.94106347557592
4,000089,포메라니안,5,8,2.2547981272703876,1.7993995361345494,2278,12646,82.99201219451841,86.13967187922424
5,000101,시츄,6,4,1.7301962802759603,5.840435976607521,1748,41046,84.72220847479437,73.85705545041904
6,000115,기타,7,7,1.4599768383335479,2.8584641215725894,1475,20089,86.18218531312792,84.3402723430897
7,000124,스피츠,8,10,1.2046046184758832,1.2259707736308143,1217,8616,87.3867899316038,88.85029667468234
8,000113,요크셔 테리어,9,6,1.176889803917687,3.5407447459411774,1189,24884,88.56367973552149,81.4818082215171
9,000069,라브라도 리트리버,10,19,1.01159073137416,0.4103644047297201,1022,2884,89.57527046689565,95.98130309196205
10,000032,치와와,11,14,0.9512120282295182,0.8883165668265058,961,6243,90.52648249512517,92.99221673615162
11,000054,골든 리트리버,12,12,0.7918518445198903,1.1081546407888558,800,7788,91.31833433964506,91.10971983095946
12,000108,웰시 코기 펨브로크,13,20,0.6829722158984054,0.37863373127107675,690,2661,92.00130655554347,96.35993682323313
13,000038,닥스훈트,14,15,0.6463490680893605,0.8133297286529404,653,5716,92.64765562363283,93.80554646480456
14,000050,프렌치 불독,15,25,0.5622148096091222,0.2105892229542253,568,1480,93.20987043324195,97.56726760483218
15,000103,시베리안 허스키,16,18,0.5295509210226766,0.534583588269611,535,3757,93.73942135426462,95.57093868723233
16,000125,코카 스파니엘,17,9,0.519652772966178,1.4846540218272883,525,10434,94.2590741272308,87.62432590105152
17,000018,비숑 프리제,18,28,0.44541666254243834,0.16306435777401498,450,1146,94.70449078977325,98.13699682693267
18,000077,미니어쳐 핀셔,19,13,0.3523740708113512,0.9941803383656569,356,6987,95.0568648605846,92.10390016932512
19,000123,슈나우져,20,11,0.31179166377970685,1.151268515488268,315,8091,95.3686565243643,90.00156519017061
20,000022,보스턴 테리어,21,21,0.3068425897514575,0.27533118001109863,310,1935,95.67549911411575,96.63526800324422
21,000020,보더 콜리,22,31,0.28704629363846024,0.12080422316766033,290,849,95.9625454077542,98.56016733305826
22,000013,비글,23,17,0.27318888635936217,0.5812547133567637,276,4085,96.23573429411357,95.03635509896272
23,000100,시바,24,34,0.24745370141246573,0.09063873987962265,250,637,96.48318799552604,98.85812262553539
24,000122,셰퍼드,25,24,0.1999425907412723,0.22154555414846538,202,1557,96.68313058626731,97.35667838187796
25,000027,불독,26,29,0.19103425749042352,0.1592225273552555,193,1119,96.87416484375774,98.29621935428793
26,000096,사모예드,27,22,0.18905462787912383,0.2531339375915992,191,1779,97.06321947163687,96.88840194083582
27,000126,포인터,28,26,0.1870749982678241,0.20660510251995617,189,1452,97.25029446990469,97.77387270735214
28,000090,퍼그,29,30,0.1781666650169753,0.14314375560266937,180,1006,97.42846113492166,98.43936310989059
29,000146,말라뮤트,30,36,0.1603499985152778,0.07811721851477682,162,549,97.58881113343693,99.02346362355756
30,000087,페키니즈,31,16,0.15639073929267833,0.6495539208013773,158,4565,97.74520187272961,94.45510038560595
31,000001,삽살개,32,35,0.1385740727909808,0.08722377950739196,140,613,97.8837759455206,98.94534640504278
32,000205,웰시 코기 카디건,33,44,0.11481851745538409,0.029738613241508845,116,209,97.99859446297599,99.44777244980722
33,000056,그레이 하운드,34,33,0.1098694434271348,0.094907440344911,111,667,98.10846390640312,98.76748388565576
34,000035,차우차우,35,32,0.10195092498193588,0.11240911225259323,103,790,98.21041483138505,98.67257644531085
35,000118,그레이트 피레니즈,36,27,0.09799166575933643,0.20005976180651405,99,1406,98.30840649714439,97.97393246915865
36,000034,샤페이,37,37,0.08512407328588821,0.07029126766174817,86,494,98.39353057043027,99.0937548912193
37,000078,미니어쳐 푸들,38,45,0.07819536964633916,0.029596323225999234,79,208,98.47172594007661,99.47736877303322
38,000135,핏불테리어,39,42,0.0772055548406893,0.04524822493205651,78,318,98.5489314949173,99.38160759259524
39,000003,풍산견,40,43,0.07027685120114027,0.03642624397046059,71,256,98.61920834611844,99.41803383656571
40,000107,토이 푸들,41,47,0.06829722158984054,0.022339532435009038,69,157,98.68750556770829,99.5274548584926
41,000041,도베르만,42,40,0.06532777717289094,0.05549310604874856,66,390,98.75283334488118,99.28200458173852
42,000084,올드 잉글리쉬 쉽독,43,46,0.06532777717289094,0.02774655302437428,66,195,98.81816112205408,99.50511532605759
43,000099,셔틀랜드 쉽독,44,48,0.0613685179502915,0.0219126623884802,62,154,98.87952964000436,99.54936752088108
44,000080,미텔 스피츠,45,57,0.04751111067119342,0.014798161612999617,48,104,98.92704075067556,99.70232928755392
45,000150,아메리칸불리,46,62,0.04652129586554356,0.013232971442393889,47,93,98.9735620465411,99.77133994507608
46,000105,스탠다드 푸들,47,49,0.04553148105989369,0.02034747221787447,46,143,99.019093527601,99.56971499309896
47,000060,이탈리안 그레이 하운드,48,50,0.04454166625424383,0.019066862078287967,45,134,99.06363519385525,99.58878185517725
48,000025,브리타니 스파니엘,49,53,0.04355185144859396,0.016505641799114956,44,116,99.10718704530385,99.6412868709003
49,000121,롯트와일러,50,41,0.04058240703164438,0.05435478592467167,41,382,99.1477694523355,99.33635936766319
50,000039,달마시안,51,52,0.04058240703164438,0.01764396192319185,41,124,99.18835185936715,99.62478122910119
51,000015,베들링턴 테리어,52,54,0.03860277742034465,0.01607877175258612,39,113,99.2269546367875,99.65736564265289
52,000007,알라스칸 말라뮤트,53,23,0.03662314780904493,0.24673088689366665,37,1734,99.26357778459654,97.13513282772949
53,000142,라이카,54,58,0.03662314780904493,0.014513581581980392,37,102,99.30020093240557,99.7168428691359
54,000046,잉글리쉬 세터,55,61,0.033653703392095335,0.01351755147341311,34,95,99.33385463579766,99.75810697363369
55,000028,케인 코르소,56,59,0.033653703392095335,0.014086711535451558,34,99,99.36750833918975,99.73092958067136
56,000120,도사,57,39,0.033653703392095335,0.0631767668862676,34,444,99.40116204258184,99.22651147568978
57,000061,잭 러셀 테리어,58,67,0.02771481455819616,0.009818011070163207,28,69,99.42887685714004,99.82498328092322
58,000026,불 테리어,59,55,0.0267249997525463,0.015225031659528451,27,107,99.45560185689259,99.67259067431242
59,000152,마리노이즈,60,60,0.0267249997525463,0.013659841488922722,27,96,99.48232685664513,99.74458942216027
60,000085,빠삐용,61,66,0.025735184946896437,0.01010259110118243,26,71,99.50806204159203,99.81516526985305
61,000006,아키다,62,63,0.024745370141246573,0.012379231349336217,25,87,99.53280741173327,99.78371917642542
62,000036,콜리,63,38,0.022765740529946846,0.06957981758420012,23,489,99.55557315226322,99.1633347088035
63,000119,아메리칸 핏불 테리어,64,77,0.02177592572429698,0.005122440558346021,22,36,99.57734907798752,99.88887149788704
64,000030,캐벌리어 킹 찰스 스파니엘,65,68,0.02078611091864712,0.007968240868538255,21,56,99.59813518890617,99.83295152179176
65,000134,화이트테리어,66,73,0.01979629611299726,0.006260760682422915,20,44,99.61793148501917,99.86667425546753
66,000133,바센지,67,83,0.014847222084747943,0.004268700465288351,15,30,99.63277870710392,99.9177563710355
67,000009,아메리칸 코카 스파니엘,68,64,0.01385740727909808,0.0109563311942401,14,77,99.64663611438303,99.79467550761966
68,000127,폭스테리어,69,56,0.01385740727909808,0.014940451628509228,14,105,99.66049352166213,99.68753112594092
69,000045,잉글리쉬 포인터,70,71,0.01385740727909808,0.00668763072895175,14,47,99.67435092894124,99.85415273410268
70,000051,저먼 포인터,71,82,0.01385740727909808,0.0046955705118171855,14,33,99.68820833622034,99.9134876705702
71,000012,바셋 하운드,72,51,0.01385740727909808,0.01835541200073991,14,129,99.70206574349945,99.60713726717799
72,000129,제페니즈칭,73,78,0.012867592473448219,0.005122440558346021,13,36,99.7149333359729,99.89399393844539
73,000004,아프간 하운드,74,72,0.011877777667798356,0.006260760682422915,12,44,99.7268111136407,99.8604134947851
74,000164,벨기에 그로넨달,75,85,0.011877777667798356,0.0039841204342691275,12,28,99.73868889130848,99.92586690191955
75,000052,저먼 셰퍼드 독,76,79,0.011877777667798356,0.0049801505428364095,12,35,99.75056666897628,99.89897408898823
76,000055,그레이트 덴,77,74,0.011877777667798356,0.005976180651403691,12,42,99.76244444664407,99.87265043611893
77,000155,동경견,78,75,0.011877777667798356,0.005833890635894079,12,41,99.77432222431186,99.87848432675483
78,000074,미디엄 푸들,79,87,0.01088796286214849,0.003557250387740292,11,25,99.785210187174,99.93326598272606
79,000137,올드 잉글리쉬 불독,80,69,0.00989814805649863,0.007256790790990196,10,51,99.7951083352305,99.84020831258275
80,000062,재패니즈 스피츠,81,76,0.00989814805649863,0.005264730573855633,10,37,99.80500648328699,99.88374905732869
81,000044,잉글리쉬 코카 스파니엘,82,84,0.008908333250848766,0.004126410449778739,9,29,99.81391481653783,99.92188278148528
82,000057,아이리쉬 세터,83,90,0.008908333250848766,0.002703510294682622,9,19,99.82282314978868,99.94194567367214
83,000143,오브차카,84,88,0.007918518445198903,0.0031303803412114574,8,22,99.83074166823387,99.93639636306726
84,000160,아메리칸 불독,85,91,0.007918518445198903,0.0025612202791730106,8,18,99.83866018667906,99.94450689395131
85,000017,버니즈 마운틴 독,86,86,0.00692870363954904,0.0038418304187595154,7,27,99.84558889031861,99.92970873233831
86,000111,휘펫,87,81,0.005938888833899178,0.004837860527326797,6,34,99.8515277791525,99.90879210005839
87,000094,로트바일러,88,93,0.005938888833899178,0.002276640248153787,6,16,99.8574666679864,99.94920246446313
88,000097,스코티쉬 테리어,89,98,0.005938888833899178,0.0018497702016249521,6,13,99.8634055568203,99.95887818551779
89,000106,티베탄 마스티프,90,99,0.005938888833899178,0.0018497702016249521,6,13,99.86934444565419,99.96072795571942
90,000073,마스티프,91,97,0.005938888833899178,0.0018497702016249521,6,13,99.87528333448809,99.95702841531616
91,000156,제주개,92,117,0.004949074028249315,0.0009960301085672819,5,7,99.88023240851633,99.98363664821645
92,000203,아메리칸 스태퍼드셔 테리어,93,111,0.004949074028249315,0.0012806101395865053,5,9,99.88518148254458,99.97723359751853
93,000024,복서,94,65,0.004949074028249315,0.010387171132201653,5,73,99.89013055657283,99.80506267875187
94,000138,페터데일테리어,95,94,0.004949074028249315,0.0021343502326441753,5,15,99.89507963060107,99.95133681469576
95,000011,오스트랄리안 셰퍼드 독,96,114,0.003959259222599452,0.0011383201240768935,4,8,99.89903888982367,99.98064855789075
96,000144,카이훗,97,107,0.003959259222599452,0.0012806101395865053,4,9,99.90299814904627,99.97211115696018
97,000132,스코티시 디어하운드,98,113,0.003959259222599452,0.0011383201240768935,4,8,99.90695740826887,99.97951023776668
98,000042,도고 아르젠티노,99,92,0.003959259222599452,0.0024189302636633985,4,17,99.91091666749146,99.94692582421497
99,000049,플랫 코티드 리트리버,100,104,0.003959259222599452,0.0014229001550961169,4,10,99.91487592671406,99.96812703652591
100,000016,벨지안 셰퍼드 독,101,108,0.003959259222599452,0.0012806101395865053,4,9,99.91883518593666,99.97339176709977
101,000021,보르조이,102,89,0.003959259222599452,0.0028458003101922338,4,20,99.92279444515925,99.93924216337746
102,000157,벨기에 쉽독,103,96,0.002969444416949589,0.0018497702016249521,3,13,99.9257638895762,99.95517864511453
103,000019,블랙 테리어,104,131,0.002969444416949589,0.0005691600620384467,3,4,99.92873333399315,99.99302778924012
104,000076,미니어쳐 닥스훈트,105,106,0.002969444416949589,0.0012806101395865053,3,9,99.9317027784101,99.9708305468206
105,000165,저먼 와이어헤어드 포인터,106,121,0.002969444416949589,0.0007114500775480584,3,5,99.93467222282705,99.98690931857318
106,000141,코카 푸,107,118,0.002969444416949589,0.0008537400930576702,3,6,99.937641667244,99.98449038830951
107,000095,살루키,108,133,0.002969444416949589,0.0004268700465288351,3,3,99.94061111166094,99.99388152933317
108,000093,래빗 닥스훈드,109,112,0.002969444416949589,0.0011383201240768935,3,8,99.94358055607789,99.9783719176426
